724665,"LIMON",CO,-7.0,39.183,-103.717,1695
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2000,01:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-3.0,A,7,-7.0,A,7,71,A,7,823,A,7,0,A,7,0.0,A,7,16100,A,7,77777,A,7,1.0,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,02:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,-3.0,A,7,-7.0,A,7,71,A,7,822,A,7,20,A,7,2.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,03:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-4.0,A,7,-7.0,A,7,77,A,7,821,A,7,20,A,7,2.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,04:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,4,E,9,-3.0,A,7,-7.0,A,7,71,A,7,821,A,7,0,A,7,0.0,A,7,16100,A,7,77777,A,7,1.0,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,05:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,-4.0,A,7,-7.0,A,7,77,A,7,822,A,7,10,A,7,3.1,A,7,16100,A,7,77777,A,7,1.0,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,06:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-5.0,A,7,-8.0,A,7,77,A,7,823,A,7,20,A,7,3.6,A,7,16100,A,7,77777,A,7,0.9,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,07:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-7.0,A,7,-9.0,A,7,84,A,7,822,A,7,350,A,7,1.5,A,7,16100,A,7,77777,A,7,0.9,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,08:00,60,1049,5,2,9,0,2,21,5,2,9,625,2,9,0,2,21,625,2,9,200,2,25,6,E,9,5,E,9,-3.0,A,7,-8.0,A,7,65,A,7,823,A,7,320,A,7,3.1,A,7,16100,A,7,77777,A,7,0.9,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,09:00,271,1415,76,2,9,0,2,21,76,2,9,8396,2,9,0,2,21,8396,2,9,2485,2,25,7,E,9,4,E,9,1.0,A,7,-6.0,A,7,56,A,7,825,A,7,330,A,7,3.1,A,7,16100,A,7,77777,A,7,0.9,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
01/01/2000,10:00,455,1415,137,2,9,12,2,21,133,2,9,15249,2,9,810,2,21,14988,2,9,4674,2,25,5,E,9,3,E,9,4.0,A,7,-6.0,A,7,45,A,7,826,A,7,320,A,7,3.6,A,7,16100,A,7,77777,A,7,0.9,E,8,0.043,F,8,0.220,F,8,-9900,-9900,?,0
