724830,"SACRAMENTO EXECUTIVE ARPT",CA,-8.0,38.500,-121.500,5
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1988,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,3,A,7,0.0,A,7,-0.6,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7,3200,A,7,77777,A,7,0.8,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-0.6,A,7,-1.1,A,7,96,A,7,1027,A,7,110,A,7,2.1,A,7,4800,A,7,77777,A,7,0.8,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,A,7,1,A,7,-0.6,A,7,-1.1,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7,6400,A,7,77777,A,7,0.8,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7,6400,A,7,77777,A,7,0.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,30,A,7,2.1,A,7,4800,A,7,77777,A,7,0.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,A,7,2,A,7,-1.7,A,7,-2.2,A,7,96,A,7,1027,A,7,0,A,7,0.0,A,7,4800,A,7,77777,A,7,0.7,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,-1.1,A,7,-1.1,A,7,100,A,7,1028,A,7,0,A,7,0.0,A,7,400,A,7,30,A,7,0.8,E,8,-9900.000,?,0,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,08:00,38,814,13,1,13,0,1,9,13,1,13,1491,1,13,0,1,9,1491,1,13,457,1,21,10,A,7,10,A,7,-0.6,A,7,-0.6,A,7,100,A,7,1028,A,7,360,A,7,3.1,A,7,400,A,7,6100,A,7,0.8,E,8,0.126,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,09:00,243,1415,53,1,13,10,1,9,52,1,13,6058,1,13,220,1,9,6020,1,13,1835,1,21,10,A,7,10,A,7,0.0,A,7,0.0,A,7,100,A,7,1029,A,7,70,A,7,2.1,A,7,4000,A,7,6100,A,7,0.8,E,8,0.126,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,10:00,437,1415,101,1,9,10,1,9,98,1,13,11495,1,9,573,1,9,11318,1,13,3726,1,18,10,A,7,10,A,7,1.1,A,7,0.0,A,7,92,A,7,1029,A,7,100,A,7,2.6,A,7,6400,A,7,6100,A,7,0.8,E,8,0.126,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,11:00,578,1415,248,1,9,182,1,9,173,1,13,26944,1,9,17999,1,9,19552,1,13,4076,1,18,10,A,7,8,A,7,2.8,A,7,0.0,A,7,82,A,7,1029,A,7,0,A,7,0.0,A,7,6400,A,7,7620,A,7,0.8,E,8,0.126,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1988,12:00,658,1415,188,1,9,46,1,9,166,1,13,20618,1,9,4514,1,9,18511,1,13,5014,1,18,10,A,7,9,A,7,4.4,A,7,0.0,A,7,73,A,7,1028,A,7,180,A,7,3.1,A,7,4800,A,7,6100,A,7,0.8,E,8,0.126,F,8,-9900.000,?,0,-9900,-9900,?,0
