CEC Modules,T_noct,A_c,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,Alpha_sc,Beta_oc,A_ref,I_l_ref,I_o_ref,R_s,R_sh_ref,Adjust,Gamma_r,Source
BEoptCA Default Module,65,0.67,18,7.5,10.4,6.6,8.4,0.003,-0.04,0.473,7.545,1.943e-009,0.094,15.72,10.6,-0.5,Multi-c-Si
Example Module,65,0.67,18,7.5,10.4,6.6,8.4,0.003,-0.04,0.473,7.545,1.943e-009,0.094,15.72,10.6,-0.5,Multi-c-Si
1Soltech 1STH-215-P,47.4,1.567,60,7.84,36.3,7.35,29,0.007997,-0.13104,1.6413,7.843,1.936e-009,0.359,839.4,16.5,-0.495,Multi-c-Si
1Soltech 1STH-220-P,47.4,1.567,60,7.97,36.6,7.47,29.3,0.008129,-0.13213,1.6572,7.974,2.03e-009,0.346,751.03,16.8,-0.495,Multi-c-Si
1Soltech 1STH-225-P,47.4,1.567,60,8.09,36.9,7.58,29.6,0.008252,-0.13321,1.6732,8.094,2.126e-009,0.334,670.65,17.1,-0.495,Multi-c-Si
1Soltech 1STH-230-P,47.4,1.567,60,8.18,37.1,7.65,29.9,0.008344,-0.13393,1.6888,8.185,2.332e-009,0.311,462.56,17.9,-0.495,Multi-c-Si
1Soltech 1STH-235-WH,49.9,1.635,60,8.54,37,8.02,29.3,0.00743,-0.13653,1.6292,8.543,1.166e-009,0.383,1257.84,8.7,-0.482,Mono-c-Si
1Soltech 1STH-240-WH,49.9,1.635,60,8.58,37.1,8.07,29.7,0.007465,-0.1369,1.6425,8.582,1.325e-009,0.335,1463.82,9.8,-0.482,Mono-c-Si
1Soltech 1STH-245-WH,49.9,1.635,60,8.62,37.2,8.1,30.2,0.007499,-0.13727,1.6617,8.623,1.623e-009,0.272,724.06,11.6,-0.482,Mono-c-Si
1Soltech 1STH-FRL-4H-245-M60-BLK,48.3,1.668,60,8.81,38.3,8.06,30.2,0.006167,-0.13635,1.6351,8.844,5.7e-010,0.421,109.31,6.502,-0.453,Mono-c-Si
1Soltech 1STH-250-WH,49.9,1.635,60,8.66,37.3,8.15,30.7,0.007534,-0.13764,1.6783,8.662,1.919e-009,0.211,760.07,13.1,-0.482,Mono-c-Si
1Soltech 1STH-FRL-4H-250-M60-BLK,48.3,1.668,60,8.85,38.4,8.11,30.7,0.006195,-0.1367,1.6517,8.878,6.83e-010,0.358,111.51,8.03,-0.453,Mono-c-Si
1Soltech 1STH-FRL-4H-255-M60-BLK,48.3,1.668,60,8.89,38.46,8.16,31.24,0.006223,-0.13692,1.6688,8.912,8.39e-010,0.285,113.34,9.818,-0.453,Mono-c-Si
1Soltech 1STH-FRL-4H-260-M60-BLK,48.3,1.668,60,8.93,38.6,8.21,31.6,0.006251,-0.13742,1.6811,8.949,9.2e-010,0.249,117.56,10.6,-0.453,Mono-c-Si
1Soltech 1STH-335-WH,47.3,2.142,80,9,49.9,8.07,41.5,0.0081,-0.17964,2.3888,9.018,7.15e-009,0.175,86.73,29,-0.51,Mono-c-Si
1Soltech 1STH-340-WH,47.3,2.142,80,9.12,51.1,8.09,42,0.008208,-0.18396,2.4462,9.15,7.161e-009,0.245,73.4,28.9,-0.51,Mono-c-Si
1Soltech 1STH-345-WH,47.3,2.142,80,9.26,51.3,8.11,42.5,0.008334,-0.18468,2.4912,9.288,9.623e-009,0.186,60.56,32,-0.51,Mono-c-Si
1Soltech 1STH-350-WH,47.3,2.142,80,9.4,51.5,8.13,43,0.00846,-0.1854,2.5366,9.423,1.283e-008,0.126,51.76,35.1,-0.51,Mono-c-Si
